#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2024 06 01 21 40 310 14.9 18.5  2.70  7.69  5.59 315 1013.6  10.8 999.0  10.3 99.0 99.00 
2024 06 01 21 50 311 14.1 18.4 99.00 99.00 99.00 999 1013.6  10.7 999.0  10.2 99.0 99.00 
2024 06 01 22 00 311 13.9 17.3 99.00 99.00 99.00 999 1013.6  10.7 999.0  10.3 99.0 99.00 
2024 06 01 22 10 312 13.9 17.9  2.51  6.67  5.41 316 1013.8  10.7 999.0  10.3 99.0 99.00 
2024 06 01 22 20 312 13.6 17.5 99.00 99.00 99.00 999 1013.7  10.7 999.0  10.3 99.0 99.00 
2024 06 01 22 30 311 13.8 17.5 99.00 99.00 99.00 999 1013.6  10.7 999.0  10.3 99.0 99.00 
2024 06 01 22 40 309 14.0 17.8  2.60  7.69  5.51 314 1013.5  10.7 999.0  10.2 99.0 99.00 
2024 06 01 22 50 308 13.9 16.9 99.00 99.00 99.00 999 1013.6  10.8 999.0  10.3 99.0 99.00 
2024 06 01 23 00 309 13.4 16.5 99.00 99.00 99.00 999 1013.6  10.8 999.0  10.3 99.0 99.00 
2024 06 01 23 10 309 13.4 16.6  2.58  6.25  5.52 321 1013.4  10.8 999.0  10.4 99.0 99.00 
2024 06 01 23 20 306 13.4 17.2 99.00 99.00 99.00 999 1013.4  10.8 999.0  10.4 99.0 99.00 
2024 06 01 23 30 307 13.5 16.7 99.00 99.00 99.00 999 1013.4  10.8 999.0  10.4 99.0 99.00 
2024 06 01 23 40 307 14.1 17.3  2.55  7.14  5.45 314 1013.4  10.9 999.0  10.5 99.0 99.00 
2024 06 01 23 50 309 13.9 18.1 99.00 99.00 99.00 999 1013.3  10.9 999.0  10.5 99.0 99.00 
2024 06 02 00 00 309 14.3 18.4 99.00 99.00 99.00 999 1013.2  10.9 999.0  10.4 99.0 99.00 
2024 06 02 00 10 309 14.2 17.9  2.37  7.69  5.23 320 1013.3  10.9 999.0  10.4 99.0 99.00 
2024 06 02 00 20 306 14.7 18.2 99.00 99.00 99.00 999 1013.3  10.9 999.0  10.4 99.0 99.00 
2024 06 02 00 30 305 14.4 18.4 99.00 99.00 99.00 999 1013.5  10.9 999.0  10.5 99.0 99.00 
2024 06 02 00 40 307 13.7 17.4  2.29  7.69  5.20 312 1013.6  10.9 999.0  10.5 99.0 99.00 
2024 06 02 00 50 307 13.2 16.4 99.00 99.00 99.00 999 1013.6  10.9 999.0  10.5 99.0 99.00 
2024 06 02 01 00 309 13.0 15.7 99.00 99.00 99.00 999 1013.6  10.9 999.0  10.5 99.0 99.00 
2024 06 02 01 10 307 12.7 15.9  2.20  7.14  5.21 322 1013.7  10.8 999.0  10.4 99.0 99.00 
2024 06 02 01 20 309 13.3 17.7 99.00 99.00 99.00 999 1013.8  10.9 999.0  10.6 99.0 99.00 
2024 06 02 01 30 310 13.4 16.9 99.00 99.00 99.00 999 1013.8  10.8 999.0  10.6 99.0 99.00 
2024 06 02 01 40 311 13.8 17.8  2.16  6.67  5.20 310 1013.9  10.9 999.0  10.8 99.0 99.00 
2024 06 02 01 50 313 12.4 15.7 99.00 99.00 99.00 999 1013.9  10.8 999.0  10.7 99.0 99.00 
2024 06 02 02 00 317 11.8 14.6 99.00 99.00 99.00 999 1013.9  10.7 999.0  10.7 99.0 99.00 
