#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2024 03 01 21 40 208  7.9 10.2  4.05 12.90  8.22 288 1009.4  11.0 999.0   9.8 99.0 99.00 
2024 03 01 21 50 207  7.7  9.5 99.00 99.00 99.00 999 1009.1  11.4 999.0  10.2 99.0 99.00 
2024 03 01 22 00 201  8.8 13.9 99.00 99.00 99.00 999 1008.9  12.0 999.0  10.6 99.0 99.00 
2024 03 01 22 10 199 11.6 13.6  3.94 13.79  8.22 291 1008.8  12.0 999.0  10.3 99.0 99.00 
2024 03 01 22 20 203 11.7 15.3 99.00 99.00 99.00 999 1008.5  11.9 999.0   9.8 99.0 99.00 
2024 03 01 22 30 200  9.8 12.9 99.00 99.00 99.00 999 1008.3  12.0 999.0  10.1 99.0 99.00 
2024 03 01 22 40 199 10.5 13.0  4.33 14.81  8.23 288 1008.1  12.2 999.0  10.1 99.0 99.00 
2024 03 01 22 50 201 11.3 14.6 99.00 99.00 99.00 999 1008.0  12.4 999.0  10.3 99.0 99.00 
2024 03 01 23 00 201 11.0 14.4 99.00 99.00 99.00 999 1008.0  12.1 999.0  10.5 99.0 99.00 
2024 03 01 23 10 199 11.0 14.3  4.03 12.90  7.79 292 1007.7  12.1 999.0  10.6 99.0 99.00 
2024 03 01 23 20 198 10.6 13.3 99.00 99.00 99.00 999 1007.5  12.1 999.0  10.6 99.0 99.00 
2024 03 01 23 30 201 10.7 14.1 99.00 99.00 99.00 999 1007.4  12.3 999.0  10.6 99.0 99.00 
2024 03 01 23 40 207 11.2 13.9  4.27 13.79  8.32 288 1007.3  12.5 999.0  10.6 99.0 99.00 
2024 03 01 23 50 204 11.3 15.1 99.00 99.00 99.00 999 1007.1  12.5 999.0  10.3 99.0 99.00 
2024 03 02 00 00 202 11.0 14.1 99.00 99.00 99.00 999 1006.9  12.6 999.0  10.7 99.0 99.00 
2024 03 02 00 10 205 11.8 14.5  4.55 13.79  8.28 292 1006.7  12.7 999.0  10.7 99.0 99.00 
2024 03 02 00 20 205 11.8 15.0 99.00 99.00 99.00 999 1006.6  12.8 999.0  10.7 99.0 99.00 
2024 03 02 00 30 205 12.4 15.8 99.00 99.00 99.00 999 1006.4  12.8 999.0  10.7 99.0 99.00 
2024 03 02 00 40 204 11.9 14.7  4.36 12.90  8.07 285 1006.2  12.8 999.0  10.9 99.0 99.00 
2024 03 02 00 50 204 12.8 16.3 99.00 99.00 99.00 999 1006.2  12.5 999.0  10.9 99.0 99.00 
2024 03 02 01 00 208 12.3 15.7 99.00 99.00 99.00 999 1006.2  12.5 999.0  10.9 99.0 99.00 
2024 03 02 01 10 206 11.5 15.3  4.69 12.90  8.52 286 1006.1  12.7 999.0  11.1 99.0 99.00 
2024 03 02 01 20 209 11.7 15.5 99.00 99.00 99.00 999 1006.0  12.8 999.0  11.1 99.0 99.00 
2024 03 02 01 30 209 12.0 15.3 99.00 99.00 99.00 999 1005.9  12.8 999.0  11.0 99.0 99.00 
2024 03 02 01 40 210 12.8 16.7  4.56 14.81  8.03 289 1005.8  12.5 999.0  10.9 99.0 99.00 
2024 03 02 01 50 217 11.1 14.1 99.00 99.00 99.00 999 1005.7  12.3 999.0  10.5 99.0 99.00 
2024 03 02 02 00 213 12.0 15.2 99.00 99.00 99.00 999 1005.6  12.6 999.0  10.1 99.0 99.00 
2024 03 02 02 10 212 11.4 14.1  5.02 13.79  8.49 290 1005.6  12.7 999.0  10.5 99.0 99.00 
2024 03 02 02 20 210 10.9 14.3 99.00 99.00 99.00 999 1005.4  12.5 999.0  10.3 99.0 99.00 
2024 03 02 02 30 211 11.4 14.6 99.00 99.00 99.00 999 1005.4  12.5 999.0  10.1 99.0 99.00 
2024 03 02 02 40 209 10.8 13.7  4.81 12.12  8.37 295 1005.3  12.5 999.0  10.6 99.0 99.00 
2024 03 02 02 50 209 11.3 13.7 99.00 99.00 99.00 999 1005.3  12.5 999.0  10.7 99.0 99.00 
2024 03 02 03 00 219 12.2 17.0 99.00 99.00 99.00 999 1005.6  11.9 999.0  10.5 99.0 99.00 
2024 03 02 03 10 236 11.0 14.4  5.15 14.81  8.76 295 1005.5  10.5 999.0   9.2 99.0 99.00 
2024 03 02 03 20 227 11.9 14.8 99.00 99.00 99.00 999 1005.2  11.3 999.0   9.8 99.0 99.00 
2024 03 02 03 30 225 11.8 14.9 99.00 99.00 99.00 999 1005.2  11.6 999.0   9.9 99.0 99.00 
2024 03 02 03 40 225 11.9 14.8  5.16 14.81  8.79 292 1005.4  12.0 999.0  10.1 99.0 99.00 
2024 03 02 03 50 230 12.4 16.6 99.00 99.00 99.00 999 1005.4  12.2 999.0  10.1 99.0 99.00 
2024 03 02 04 00 241 13.0 17.4 99.00 99.00 99.00 999 1005.3  11.9 999.0   8.9 99.0 99.00 
2024 03 02 04 10 239 13.2 17.2  4.98 14.81  8.45 289 1005.4  12.0 999.0   9.2 99.0 99.00 
2024 03 02 04 20 241 12.1 15.0 99.00 99.00 99.00 999 1005.3  12.0 999.0   9.6 99.0 99.00 
2024 03 02 04 30 242 11.9 15.9 99.00 99.00 99.00 999 1005.4  12.0 999.0   9.8 99.0 99.00 
2024 03 02 04 40 248 13.5 20.7  5.14 16.00  8.70 295 1005.8  11.0 999.0   9.3 99.0 99.00 
2024 03 02 04 50 255 11.6 15.1 99.00 99.00 99.00 999 1006.0  10.6 999.0   9.4 99.0 99.00 
2024 03 02 05 00 279 13.2 18.5 99.00 99.00 99.00 999 1006.1  10.1 999.0   9.1 99.0 99.00 
2024 03 02 05 10 274 11.0 14.8  4.93 14.81  8.17 302 1006.1  10.0 999.0   8.6 99.0 99.00 
2024 03 02 05 20 271 10.0 12.8 99.00 99.00 99.00 999 1006.3  10.3 999.0   8.7 99.0 99.00 
2024 03 02 05 30 270  9.0 11.9 99.00 99.00 99.00 999 1006.2  10.6 999.0   8.6 99.0 99.00 
2024 03 02 05 40 260  9.1 11.5  5.34 16.00  8.90 299 1006.2  10.8 999.0   8.4 99.0 99.00 
2024 03 02 05 50 257  9.2 12.2 99.00 99.00 99.00 999 1006.3  11.1 999.0   8.6 99.0 99.00 
2024 03 02 06 00 254 10.1 12.5 99.00 99.00 99.00 999 1006.1  11.2 999.0   8.6 99.0 99.00 
2024 03 02 06 10 252  9.4 12.1  5.14 14.81  8.92 296 1006.3  11.4 999.0   9.0 99.0 99.00 
2024 03 02 06 20 253 10.2 12.6 99.00 99.00 99.00 999 1006.2  11.5 999.0   8.7 99.0 99.00 
2024 03 02 06 30 252 10.4 13.2 99.00 99.00 99.00 999 1006.3  11.7 999.0   8.5 99.0 99.00 
2024 03 02 06 40 252 10.2 13.4  4.93 16.00  8.96 292 1006.3  11.8 999.0   8.4 99.0 99.00 
2024 03 02 06 50 249 10.6 13.7 99.00 99.00 99.00 999 1006.2  11.8 999.0   8.4 99.0 99.00 
2024 03 02 07 00 246 10.1 13.4 99.00 99.00 99.00 999 1006.1  11.6 999.0   8.6 99.0 99.00 
2024 03 02 07 10 248 10.5 14.0  4.80 16.00  8.28 293 1006.1  11.3 999.0   8.0 99.0 99.00 
2024 03 02 07 20 276 11.3 16.0 99.00 99.00 99.00 999 1006.1  11.4 999.0   8.6 99.0 99.00 
2024 03 02 07 30 280 10.4 13.2 99.00 99.00 99.00 999 1006.4  11.0 999.0   8.5 99.0 99.00 
2024 03 02 07 40 280 10.5 13.2  4.93 16.00  8.67 308 1006.6  11.0 999.0   8.4 99.0 99.00 
2024 03 02 07 50 278 10.5 13.5 99.00 99.00 99.00 999 1006.6  10.9 999.0   8.2 99.0 99.00 
2024 03 02 08 00 270 10.4 13.6 99.00 99.00 99.00 999 1006.5  11.0 999.0   7.9 99.0 99.00 
2024 03 02 08 10 284 12.9 17.4  5.23 16.00  8.64 294 1006.9   9.9 999.0   8.0 99.0 99.00 
2024 03 02 08 20 274 12.2 19.2 99.00 99.00 99.00 999 1006.9   9.7 999.0   7.4 99.0 99.00 
2024 03 02 08 30 261 11.7 14.6 99.00 99.00 99.00 999 1007.0  10.1 999.0   7.4 99.0 99.00 
2024 03 02 08 40 260 11.3 14.6  4.88 12.90  8.50 302 1006.8  10.2 999.0   7.0 99.0 99.00 
2024 03 02 08 50 265 10.1 13.3 99.00 99.00 99.00 999 1006.9  10.3 999.0   7.2 99.0 99.00 
2024 03 02 09 00 269 11.2 13.9 99.00 99.00 99.00 999 1007.0  10.1 999.0   6.4 99.0 99.00 
2024 03 02 09 10 269 10.6 14.9  4.97 14.81  8.72 303 1007.0  10.3 999.0   6.8 99.0 99.00 
2024 03 02 09 20 267 11.0 14.4 99.00 99.00 99.00 999 1006.9  10.4 999.0   6.6 99.0 99.00 
2024 03 02 09 30 270 10.9 13.6 99.00 99.00 99.00 999 1006.9  10.6 999.0   6.5 99.0 99.00 
2024 03 02 09 40 263 10.9 15.1  4.49 14.81  8.33 304 1006.8  10.7 999.0   6.5 99.0 99.00 
2024 03 02 09 50 272 12.6 16.9 99.00 99.00 99.00 999 1007.1  10.5 999.0   6.6 99.0 99.00 
2024 03 02 10 00 274 14.0 19.1 99.00 99.00 99.00 999 1007.3  10.3 999.0   5.6 99.0 99.00 
2024 03 02 10 10 263 12.1 18.1  5.22 14.81  8.63 300 1007.4   9.8 999.0   5.1 99.0 99.00 
2024 03 02 10 20 261 12.4 15.5 99.00 99.00 99.00 999 1007.3  10.2 999.0   5.2 99.0 99.00 
2024 03 02 10 30 267 12.2 16.7 99.00 99.00 99.00 999 1007.5  10.1 999.0   5.2 99.0 99.00 
2024 03 02 10 40 256  9.7 12.7  4.92 13.79  8.50 308 1007.0   9.7 999.0   4.4 99.0 99.00 
2024 03 02 10 50 258  9.9 12.3 99.00 99.00 99.00 999 1007.1  10.0 999.0   5.3 99.0 99.00 
2024 03 02 11 00 260 10.2 13.5 99.00 99.00 99.00 999 1007.2  10.1 999.0   6.5 99.0 99.00 
2024 03 02 11 10 262 10.2 12.9  4.87 16.00  8.68 302 1007.0  10.2 999.0   6.8 99.0 99.00 
2024 03 02 11 20 278 11.5 15.8 99.00 99.00 99.00 999 1007.1  10.4 999.0   5.5 99.0 99.00 
2024 03 02 11 30 276 11.8 15.2 99.00 99.00 99.00 999 1007.2  10.4 999.0   5.0 99.0 99.00 
2024 03 02 11 40 281 11.5 15.4  4.58 14.81  8.07 292 1007.2  10.4 999.0   5.0 99.0 99.00 
2024 03 02 11 50 282 10.4 13.8 99.00 99.00 99.00 999 1007.2  10.3 999.0   5.4 99.0 99.00 
2024 03 02 12 00 278 11.0 14.4 99.00 99.00 99.00 999 1007.3  10.3 999.0   5.3 99.0 99.00 
2024 03 02 12 10 267 11.2 14.6  4.80 16.00  8.05 297 1007.3  10.3 999.0   4.7 99.0 99.00 
2024 03 02 12 20 266 10.7 13.7 99.00 99.00 99.00 999 1007.3  10.3 999.0   5.1 99.0 99.00 
2024 03 02 12 30 264  9.9 14.1 99.00 99.00 99.00 999 1007.4  10.2 999.0   5.3 99.0 99.00 
2024 03 02 12 40 250 10.0 13.4  4.71 11.43  8.27 291 1007.4  10.0 999.0   5.5 99.0 99.00 
