,pred_res_0,pred_res_1,pred_res_2,pred_res_3,pred_res_4,pred_res_5,pred_res_6,pred_res_7,pred_res_8,pred_res_9
2023-01-18 22:00:00+00:00,-0.0005743209022343598,0.00941703113795768,0.011954318079317627,0.04768738782403015,-0.0337478560468423,-0.0043317231914915405,0.02548992946613668,0.01988882570296055,0.03879682936427385,0.013069980075325643
2023-01-18 23:00:00+00:00,0.00037119428948331756,0.010725257155194304,0.00993201310149014,0.04240159105550967,-0.03400143918545637,-0.003384022058300587,0.02064611977868927,0.026978487961098724,0.03861059156503342,0.015161487013102798
2023-01-19 00:00:00+00:00,-0.004934321054766849,0.007710117061558233,0.006357592855492145,0.03671812341493996,-0.03723057705476071,-0.007210382267663976,0.013846668681814861,0.020312867948699437,0.0349386945252652,0.013071405281899706
2023-01-19 01:00:00+00:00,-0.011845908788242071,0.0026765840522679635,0.0012820839431989806,0.0290874388699488,-0.0424250545159679,-0.012683830364772677,0.005180749682796609,0.010404648798362642,0.0292572538509263,0.00843936613017518
2023-01-19 02:00:00+00:00,-0.018102337822405667,-0.0021532248637295276,-0.003600538407689119,0.02229789058138787,-0.04644423781354928,-0.017475957934975264,-0.0029878069718041467,0.0025618829484736483,0.025691629161362015,0.0037241432420184184
2023-01-19 03:00:00+00:00,-0.02693541185775475,-0.009542566523453352,-0.01095912691639686,0.014228646151682567,-0.05211904416428184,-0.023496565284897533,-0.013051528064405155,-0.006523372983178538,0.02134324348683235,-0.0036014298556529545
2023-01-19 04:00:00+00:00,-0.03586528562238667,-0.019750964635927445,-0.021830988081800035,0.0030654642762652506,-0.061361569103309976,-0.0308041110784701,-0.02565723211448509,-0.015535182114235463,0.014739228354759035,-0.020029085667452012
2023-01-19 05:00:00+00:00,-0.043090075290267676,-0.030944471755910738,-0.03429091163026596,-0.008305129008330359,-0.06862138311465557,-0.038622314007835404,-0.039624136132034055,-0.022848431245471645,0.0075691822134616865,-0.03682599626252461
2023-01-19 06:00:00+00:00,-0.04680568484363026,-0.04339450062706207,-0.04938051913975741,-0.02064746532918932,-0.07193651036349255,-0.04794181002521715,-0.051134892830631856,-0.031960635419042094,0.0006319113013117245,-0.057868995129225415
2023-01-19 07:00:00+00:00,-0.05308988257721389,-0.05107345808890866,-0.06032783731018285,-0.030622939948370287,-0.0761810900355426,-0.057591759302043674,-0.06079526443464464,-0.041400140583564726,-0.00928027579694514,-0.07797551754459836
2023-01-19 08:00:00+00:00,-0.060845900827656035,-0.05951160922592309,-0.06546679656952356,-0.03731302142646431,-0.08261838809552233,-0.07459517339985874,-0.05657323830066688,-0.049684238019762156,-0.022414554970965242,-0.09831711331218662
2023-01-19 09:00:00+00:00,-0.06423633962627351,-0.06837464103505976,-0.0688442410340416,-0.0407989239031617,-0.08501040231814275,-0.08038995719387321,-0.04850048668503601,-0.051288418405445235,-0.03335925438382077,-0.11177291745891543
2023-01-19 10:00:00+00:00,-0.05316253122418779,-0.07803532554832916,-0.06547621256905639,-0.037775288454156675,-0.08639458729072472,-0.0718925355609589,-0.039465221463014705,-0.037955618569059824,-0.0339186699291545,-0.11962037798098896
2023-01-19 11:00:00+00:00,-0.06105055839130957,-0.08199701833031878,-0.07132508681149055,-0.03845332052999706,-0.08937495245234559,-0.07913713253274068,-0.04317652903929284,-0.04005271657604534,-0.036829512188077354,-0.12739511563393946
2023-01-19 12:00:00+00:00,-0.06293168876064459,-0.0859612306024868,-0.07698410668086039,-0.03934796622322967,-0.09016710929860591,-0.08219074806281226,-0.04508376028124442,-0.04078888304900294,-0.037289249364968205,-0.1321561366278535
2023-01-19 13:00:00+00:00,-0.0615925098346673,-0.08915723421659351,-0.08186403339364892,-0.03871837969245312,-0.0910192430665048,-0.08410559336193468,-0.045516871230311035,-0.03826552369306088,-0.037195159669567227,-0.13634241482790205
2023-01-19 14:00:00+00:00,-0.06501261314924081,-0.09142364420301918,-0.0858203630106413,-0.03918998985002603,-0.09235601122604842,-0.08741731245862638,-0.04759210649975734,-0.037572905937395484,-0.0376767915059162,-0.1408899306132289
2023-01-19 15:00:00+00:00,-0.06167263087295197,-0.09301831295303985,-0.08966780471843686,-0.040443359278222735,-0.08810928782498659,-0.08768107179621012,-0.048490221161662045,-0.038245271986846324,-0.03621224778112754,-0.14134392932376166
2023-01-19 16:00:00+00:00,-0.06531295202362222,-0.09420968959427203,-0.09229882133243303,-0.041869703424877114,-0.08782823358594319,-0.0904037131955413,-0.05120112030630189,-0.04026997444956845,-0.036423362078694246,-0.1441955754287205
2023-01-19 17:00:00+00:00,-0.06876969112637393,-0.09496532311521298,-0.09509025991071376,-0.042287117605070645,-0.08809224445439792,-0.09231439043962386,-0.053035686738121784,-0.040768655830779904,-0.03759395235697173,-0.14691524660716973
2023-01-19 18:00:00+00:00,-0.07327699560183518,-0.09566763940561532,-0.09773626134700716,-0.042740836587707165,-0.0885952223155346,-0.09416352131885417,-0.05501338113823592,-0.041221258465365646,-0.03912539240147901,-0.14997677765421447
2023-01-19 19:00:00+00:00,-0.07726852444915397,-0.09680671764492126,-0.10052460891458928,-0.044058308951092584,-0.08893482705523759,-0.09584587570366074,-0.05687171166788493,-0.040325302837367544,-0.0405387252395238,-0.1530896376595203
2023-01-19 20:00:00+00:00,-0.08250579169418235,-0.09836287607144999,-0.10265029023411501,-0.0461845514527805,-0.08970030240445762,-0.09839013516243542,-0.060120691581326074,-0.041257092898885184,-0.04151336452550693,-0.15623596949208696
2023-01-19 21:00:00+00:00,-0.09033470195525345,-0.10084493192704842,-0.10446880720275767,-0.04912655072690031,-0.09224156262390501,-0.10182928442268563,-0.06281269336688675,-0.04019262015303943,-0.04367213001865851,-0.16116365611047376
