,pred_res_0,pred_res_1,pred_res_2,pred_res_3,pred_res_4,pred_res_5,pred_res_6,pred_res_7,pred_res_8,pred_res_9,pred_res_mean,std_dev
2022-11-16 03:00:00+00:00,-0.21968183,-0.19784516,-0.19236878,-0.18752989,-0.19154534,-0.23184106,-0.18732944,-0.20671678,-0.1894559,-0.21331489,-0.20176291,0.015470887
2022-11-16 04:00:00+00:00,-0.21997923,-0.19872811,-0.19308591,-0.18821627,-0.19346952,-0.23293486,-0.19020918,-0.20603344,-0.19029802,-0.21551946,-0.2028474,0.015278773
2022-11-16 05:00:00+00:00,-0.21252382,-0.20005211,-0.19482073,-0.19005865,-0.19593358,-0.23395604,-0.1933733,-0.20689759,-0.19221044,-0.21800488,-0.20378312,0.014084175
2022-11-16 06:00:00+00:00,-0.2064662,-0.20168278,-0.19722077,-0.1927819,-0.1988585,-0.23489186,-0.19765681,-0.20876247,-0.1950258,-0.22066587,-0.20540127,0.013189078
2022-11-16 07:00:00+00:00,-0.20467788,-0.20316559,-0.19948018,-0.19533351,-0.20175698,-0.23539406,-0.20103121,-0.21092647,-0.19850445,-0.22343156,-0.20737019,0.0126416655
2022-11-16 08:00:00+00:00,-0.20414937,-0.20472032,-0.20186505,-0.19824463,-0.20597458,-0.23628363,-0.20409971,-0.21370855,-0.2025328,-0.22681728,-0.20983958,0.012294506
2022-11-16 09:00:00+00:00,-0.20342332,-0.20625448,-0.20408714,-0.2011176,-0.21006507,-0.23703757,-0.20712999,-0.21630773,-0.20643821,-0.23023537,-0.21220966,0.012126785
2022-11-16 10:00:00+00:00,-0.20331195,-0.20757037,-0.20558798,-0.2032021,-0.21311909,-0.23758805,-0.20928407,-0.21856838,-0.20964935,-0.23338681,-0.21412683,0.012192116
2022-11-16 11:00:00+00:00,-0.204281,-0.20897868,-0.2073034,-0.20550272,-0.21607113,-0.23833618,-0.21139547,-0.22083163,-0.21250945,-0.23655581,-0.21617655,0.012248933
2022-11-16 12:00:00+00:00,-0.20590603,-0.21051499,-0.20918486,-0.20796052,-0.21864247,-0.23750767,-0.21339554,-0.22332075,-0.21520174,-0.23971477,-0.21813492,0.011974234
