STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
NAP,H,20,FLOW,20230311 1800,20230311 1800,2330, ,CFS
NAP,H,20,FLOW,20230311 1900,20230311 1900,2321, ,CFS
NAP,H,20,FLOW,20230311 2000,20230311 2000,2317, ,CFS
NAP,H,20,FLOW,20230311 2100,20230311 2100,2290, ,CFS
NAP,H,20,FLOW,20230311 2200,20230311 2200,2232, ,CFS
NAP,H,20,FLOW,20230311 2300,20230311 2300,2171, ,CFS
NAP,H,20,FLOW,20230312 0000,20230312 0000,2132, ,CFS
NAP,H,20,FLOW,20230312 0100,20230312 0100,2097, ,CFS
NAP,H,20,FLOW,20230312 0300,20230312 0300,2076, ,CFS
NAP,H,20,FLOW,20230312 0400,20230312 0400,2016, ,CFS
NAP,H,20,FLOW,20230312 0500,20230312 0500,1961, ,CFS
NAP,H,20,FLOW,20230312 0600,20230312 0600,1966, ,CFS
NAP,H,20,FLOW,20230312 0700,20230312 0700,1899, ,CFS
NAP,H,20,FLOW,20230312 0800,20230312 0800,1883, ,CFS
NAP,H,20,FLOW,20230312 0900,20230312 0900,1899, ,CFS
NAP,H,20,FLOW,20230312 1000,20230312 1000,1911, ,CFS
NAP,H,20,FLOW,20230312 1100,20230312 1100,1974, ,CFS
NAP,H,20,FLOW,20230312 1200,20230312 1200,1961, ,CFS
NAP,H,20,FLOW,20230312 1300,20230312 1300,2145, ,CFS
NAP,H,20,FLOW,20230312 1400,20230312 1400,2232, ,CFS
NAP,H,20,FLOW,20230312 1500,20230312 1500,2371, ,CFS
NAP,H,20,FLOW,20230312 1600,20230312 1600,2541, ,CFS
NAP,H,20,FLOW,20230312 1700,20230312 1700,2654, ,CFS
NAP,H,20,FLOW,20230312 1800,20230312 1800,2784, ,CFS
NAP,H,20,FLOW,20230312 1900,20230312 1900,2867, ,CFS
NAP,H,20,FLOW,20230312 2000,20230312 2000,3011, ,CFS
NAP,H,20,FLOW,20230312 2100,20230312 2100,3067, ,CFS
NAP,H,20,FLOW,20230312 2200,20230312 2200,3143, ,CFS
NAP,H,20,FLOW,20230312 2300,20230312 2300,3143, ,CFS
NAP,H,20,FLOW,20230313 0000,20230313 0000,3215, ,CFS
NAP,H,20,FLOW,20230313 0100,20230313 0100,3189, ,CFS
NAP,H,20,FLOW,20230313 0200,20230313 0200,3251, ,CFS
NAP,H,20,FLOW,20230313 0300,20230313 0300,3205, ,CFS
NAP,H,20,FLOW,20230313 0400,20230313 0400,3194, ,CFS
NAP,H,20,FLOW,20230313 0500,20230313 0500,3133, ,CFS
NAP,H,20,FLOW,20230313 0600,20230313 0600,3092, ,CFS
NAP,H,20,FLOW,20230313 0700,20230313 0700,3082, ,CFS
NAP,H,20,FLOW,20230313 0800,20230313 0800,3036, ,CFS
NAP,H,20,FLOW,20230313 0900,20230313 0900,2981, ,CFS
NAP,H,20,FLOW,20230313 1000,20230313 1000,2946, ,CFS
NAP,H,20,FLOW,20230313 1100,20230313 1100,2897, ,CFS
NAP,H,20,FLOW,20230313 1200,20230313 1200,2833, ,CFS
NAP,H,20,FLOW,20230313 1300,20230313 1300,2750, ,CFS
NAP,H,20,FLOW,20230313 1400,20230313 1400,2779, ,CFS
NAP,H,20,FLOW,20230313 1500,20230313 1500,2726, ,CFS
NAP,H,20,FLOW,20230313 1600,20230313 1600,2683, ,CFS
NAP,H,20,FLOW,20230313 1700,20230313 1700,2621, ,CFS
NAP,H,20,FLOW,20230313 1800,20230313 1800,2602, ,CFS
NAP,H,20,FLOW,20230313 1900,20230313 1900,2593, ,CFS
NAP,H,20,FLOW,20230313 2000,20230313 2000,2565, ,CFS
NAP,H,20,FLOW,20230313 2100,20230313 2100,2504, ,CFS
NAP,H,20,FLOW,20230313 2200,20230313 2200,2462, ,CFS
NAP,H,20,FLOW,20230313 2300,20230313 2300,2499, ,CFS
NAP,H,20,FLOW,20230314 0000,20230314 0000,2426, ,CFS
NAP,H,20,FLOW,20230314 0100,20230314 0100,2389, ,CFS
NAP,H,20,FLOW,20230314 0200,20230314 0200,2344, ,CFS
NAP,H,20,FLOW,20230314 0300,20230314 0300,2303, ,CFS
NAP,H,20,FLOW,20230314 0400,20230314 0400,2272, ,CFS
NAP,H,20,FLOW,20230314 0500,20230314 0500,2290, ,CFS
NAP,H,20,FLOW,20230314 0600,20230314 0600,2339, ,CFS
NAP,H,20,FLOW,20230314 0700,20230314 0700,2385, ,CFS
NAP,H,20,FLOW,20230314 0800,20230314 0800,2574, ,CFS
NAP,H,20,FLOW,20230314 0900,20230314 0900,2741, ,CFS
NAP,H,20,FLOW,20230314 1000,20230314 1000,3077, ,CFS
NAP,H,20,FLOW,20230314 1100,20230314 1100,3548, ,CFS
NAP,H,20,FLOW,20230314 1200,20230314 1200,3946, ,CFS
NAP,H,20,FLOW,20230314 1300,20230314 1300,4362, ,CFS
NAP,H,20,FLOW,20230314 1400,20230314 1400,4783, ,CFS
NAP,H,20,FLOW,20230314 1500,20230314 1500,5096, ,CFS
NAP,H,20,FLOW,20230314 1600,20230314 1600,5483, ,CFS
NAP,H,20,FLOW,20230314 1700,20230314 1700,5712, ,CFS
NAP,H,20,FLOW,20230314 1800,20230314 1800,6040, ,CFS
NAP,H,20,FLOW,20230314 1900,20230314 1900,5968, ,CFS
NAP,H,20,FLOW,20230314 2000,20230314 2000,6288, ,CFS
NAP,H,20,FLOW,20230314 2100,20230314 2100,6011, ,CFS
NAP,H,20,FLOW,20230314 2200,20230314 2200,7494, ,CFS
NAP,H,20,FLOW,20230314 2300,20230314 2300,7018, ,CFS
NAP,H,20,FLOW,20230315 0000,20230315 0000,6624, ,CFS
NAP,H,20,FLOW,20230315 0100,20230315 0100,6223, ,CFS
NAP,H,20,FLOW,20230315 0200,20230315 0200,5768, ,CFS
NAP,H,20,FLOW,20230315 0300,20230315 0300,5125, ,CFS
NAP,H,20,FLOW,20230315 0400,20230315 0400,4819, ,CFS
NAP,H,20,FLOW,20230315 0500,20230315 0500,4713, ,CFS
NAP,H,20,FLOW,20230315 0600,20230315 0600,4396, ,CFS
NAP,H,20,FLOW,20230315 0700,20230315 0700,4245, ,CFS
NAP,H,20,FLOW,20230315 0800,20230315 0800,4157, ,CFS
NAP,H,20,FLOW,20230315 0900,20230315 0900,3966, ,CFS
NAP,H,20,FLOW,20230315 1000,20230315 1000,3845, ,CFS
NAP,H,20,FLOW,20230315 1100,20230315 1100,3690, ,CFS
NAP,H,20,FLOW,20230315 1200,20230315 1200,3673, ,CFS
NAP,H,20,FLOW,20230315 1300,20230315 1300,3579, ,CFS
NAP,H,20,FLOW,20230315 1400,20230315 1400,3451, ,CFS
NAP,H,20,FLOW,20230315 1500,20230315 1500,3354, ,CFS
NAP,H,20,FLOW,20230315 1600,20230315 1600,3270, ,CFS
NAP,H,20,FLOW,20230315 1700,20230315 1700,3192, ,CFS
NAP,H,20,FLOW,20230315 1800,20230315 1800,3016, ,CFS
NAP,H,20,FLOW,20230315 1900,20230315 1900,2967, ,CFS
NAP,H,20,FLOW,20230315 2000,20230315 2000,2903, ,CFS
NAP,H,20,FLOW,20230315 2100,20230315 2100,2866, ,CFS
NAP,H,20,FLOW,20230315 2200,20230315 2200,2628, ,CFS
NAP,H,20,FLOW,20230315 2300,20230315 2300,2569, ,CFS
NAP,H,20,FLOW,20230316 0000,20230316 0000,2409, ,CFS
NAP,H,20,FLOW,20230316 0100,20230316 0100,2362, ,CFS
NAP,H,20,FLOW,20230316 0200,20230316 0200,2284, ,CFS
