,pred_res_0,pred_res_1,pred_res_2,pred_res_3,pred_res_4
2022-11-17 22:00:00+00:00,-0.19312271,-0.20691904,-0.20534995,-0.18834719,-0.21708342
2022-11-17 23:00:00+00:00,-0.19019058,-0.20399451,-0.20263806,-0.18587375,-0.21427006
2022-11-18 00:00:00+00:00,-0.18830341,-0.20156297,-0.2001788,-0.18430015,-0.211921
2022-11-18 01:00:00+00:00,-0.18743625,-0.19972727,-0.19815812,-0.18354532,-0.21002576
2022-11-18 02:00:00+00:00,-0.18763375,-0.1982514,-0.1965971,-0.18370587,-0.20859179
2022-11-18 03:00:00+00:00,-0.18823704,-0.19716889,-0.19512984,-0.18446186,-0.20759454
2022-11-18 04:00:00+00:00,-0.18950379,-0.1966356,-0.19387934,-0.18594912,-0.20680445
2022-11-18 05:00:00+00:00,-0.19094032,-0.1966033,-0.19279474,-0.18776631,-0.20635876
2022-11-18 06:00:00+00:00,-0.19272509,-0.19696009,-0.1916376,-0.19001657,-0.20584884
2022-11-18 07:00:00+00:00,-0.1947099,-0.19718584,-0.19122124,-0.19203115,-0.205408
2022-11-18 08:00:00+00:00,-0.19652146,-0.19732952,-0.19120702,-0.1936276,-0.20548439
2022-11-18 09:00:00+00:00,-0.19812706,-0.19921225,-0.1920796,-0.19493392,-0.20525596
2022-11-18 10:00:00+00:00,-0.19936138,-0.20055449,-0.19247437,-0.19565773,-0.20490423
2022-11-18 11:00:00+00:00,-0.19984564,-0.20125285,-0.1927543,-0.19643807,-0.20463371
2022-11-18 12:00:00+00:00,-0.19970945,-0.20076615,-0.19247201,-0.19622454,-0.2039423
2022-11-18 13:00:00+00:00,-0.1993871,-0.19986555,-0.19179139,-0.19569913,-0.20314014
2022-11-18 14:00:00+00:00,-0.19826066,-0.19881836,-0.19047132,-0.19493607,-0.20190263
2022-11-18 15:00:00+00:00,-0.19643998,-0.19746828,-0.18950453,-0.1933912,-0.200649
2022-11-18 16:00:00+00:00,-0.19393414,-0.1958541,-0.1881792,-0.19081774,-0.19913319
2022-11-18 17:00:00+00:00,-0.19110632,-0.19452816,-0.186627,-0.18757385,-0.19746628
2022-11-18 18:00:00+00:00,-0.18840665,-0.19342583,-0.18621254,-0.18472704,-0.19591245
2022-11-18 19:00:00+00:00,-0.1846573,-0.19228068,-0.18629047,-0.18088248,-0.19413948
2022-11-18 20:00:00+00:00,-0.18055609,-0.19080794,-0.18622401,-0.17650369,-0.19200683
2022-11-18 21:00:00+00:00,-0.17633733,-0.18825856,-0.18601537,-0.17185262,-0.18977267
2022-11-18 22:00:00+00:00,-0.17245564,-0.18550068,-0.18556252,-0.1671454,-0.18741247
2022-11-18 23:00:00+00:00,-0.16869226,-0.18352729,-0.18503079,-0.1631932,-0.18484151
2022-11-19 00:00:00+00:00,-0.1648303,-0.17966712,-0.1845333,-0.15870413,-0.18211281
2022-11-19 01:00:00+00:00,-0.16109839,-0.1767703,-0.18396488,-0.15502223,-0.17948493
2022-11-19 02:00:00+00:00,-0.15714142,-0.17429352,-0.18156955,-0.15117496,-0.17705259
2022-11-19 03:00:00+00:00,-0.15308195,-0.17277318,-0.17864913,-0.14733404,-0.17450282
2022-11-19 04:00:00+00:00,-0.14915755,-0.17066383,-0.17546716,-0.14350596,-0.17098242
2022-11-19 05:00:00+00:00,-0.14573836,-0.16822734,-0.1722402,-0.14002669,-0.16707641
2022-11-19 06:00:00+00:00,-0.14156151,-0.16459641,-0.16919822,-0.13572344,-0.16317308
2022-11-19 07:00:00+00:00,-0.13861534,-0.16253549,-0.16578445,-0.13211519,-0.1601995
2022-11-19 08:00:00+00:00,-0.13632125,-0.16109776,-0.16300237,-0.12872034,-0.1570358
2022-11-19 09:00:00+00:00,-0.13447684,-0.15987894,-0.16048187,-0.12587821,-0.15291184
2022-11-19 10:00:00+00:00,-0.13260415,-0.15844771,-0.15820518,-0.12358984,-0.14898223
2022-11-19 11:00:00+00:00,-0.13040033,-0.15701118,-0.15638569,-0.1220476,-0.14660579
2022-11-19 12:00:00+00:00,-0.13001543,-0.15739697,-0.15598321,-0.121855944,-0.14607933
2022-11-19 13:00:00+00:00,-0.13016605,-0.1578505,-0.15578821,-0.12249246,-0.14625564
